month,label,entry_policy,stop_policy,delta_vs_control_r,dollars_at_50_max_case_risk,expectancy_per_filled_case_r,expectancy_per_population_case_r,filled_cases,flat_cases,gross_negative_r,gross_positive_r,losing_cases,maximum_drawdown_r,median_stop_distance_ratio_to_control,net_r,no_fill_cases,original_positive_cases,original_positive_converted_to_loss,original_positive_retained,original_positive_unfilled,population,profit_factor,retest_filled_cases,retest_opportunity_cases,stop_disposition_cases,stop_fallbacks,stop_replacements,target_disposition_cases,time_exit_disposition_cases,win_rate_filled,winning_cases,outcome_counts_json
2022_07,July 2022,CONFIRMED_25_75_RETEST_SPLIT,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,2.915508215172175,-282.5839504766568,-0.0819083914425092,-0.0819083914425092,69,0,-30.621356616107096,24.96967760657396,39,7.645202381045365,0.7841149773070942,-5.651679009533136,0,35,5,30,0,69,0.8154334218308178,46,46,38,19,50,30,1,0.43478260869565216,30,"{""SPLIT_CONTROL_STOP_NO_RETEST"":11,""SPLIT_CONTROL_TARGET_NO_RETEST"":12,""SPLIT_STOP_STOP"":27,""SPLIT_TARGET_TARGET"":18,""SPLIT_TIME_EXIT_TIME_EXIT"":1}"
2022_07,July 2022,CONFIRMED_25_75_RETEST_SPLIT,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,1.793570329055851,-338.680844782473,-0.09816836080651391,-0.09816836080651391,69,0,-27.017437629937618,20.243820734288164,34,8.995280000156809,1.0,-6.77361689564946,0,35,0,35,0,69,0.7492872200380798,46,46,33,64,5,35,1,0.5072463768115942,35,"{""SPLIT_CONTROL_STOP_NO_RETEST"":9,""SPLIT_CONTROL_TARGET_NO_RETEST"":14,""SPLIT_STOP_STOP"":24,""SPLIT_TARGET_TARGET"":21,""SPLIT_TIME_EXIT_TIME_EXIT"":1}"
2022_08,August 2022,CONTROL_NEXT_M1_OPEN,CONTROL_V2_FILLED_STOP,0.0,592.2158362965685,0.17165676414393288,0.17165676414393288,69,0,-30.0,41.84431672593136,30,9.24967919134698,1.0,11.84431672593137,0,39,0,39,0,69,1.3948105575310452,0,41,30,0,0,39,0,0.5652173913043478,39,"{""STOP"":30,""TARGET"":39}"
2022_08,August 2022,CONTROL_NEXT_M1_OPEN,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,1.638428958455206,674.1372842193288,0.19540211136792138,0.19540211136792138,69,0,-40.0,53.48274568438658,40,11.697818078567483,0.5127930402930609,13.482745684386575,0,39,10,29,0,69,1.3370686421096645,0,41,40,5,64,29,0,0.42028985507246375,29,"{""STOP"":40,""TARGET"":29}"
2022_08,August 2022,CONTROL_NEXT_M1_OPEN,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,9.543949149969857,1069.4132937950612,0.3099748677666844,0.3099748677666844,69,0,-35.0,56.38826587590122,35,12.30695615705492,0.7480357142856903,21.388265875901226,0,39,5,34,0,69,1.611093310740035,0,40,35,12,57,34,0,0.4927536231884058,34,"{""STOP"":35,""TARGET"":34}"
2022_08,August 2022,CONTROL_NEXT_M1_OPEN,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,0.451744889787296,614.8030807859333,0.17820379153215457,0.17820379153215457,69,0,-30.0,42.296061615718656,30,9.24967919134698,1.0,12.296061615718665,0,39,0,39,0,69,1.4098687205239553,0,41,30,61,8,39,0,0.5652173913043478,39,"{""STOP"":30,""TARGET"":39}"
2022_08,August 2022,M5_BROKEN_CONTROL_FIRST_RETEST,CONTROL_V2_FILLED_STOP,-1.4497554806022208,519.7280622664574,0.25352588403241827,0.1506458151496978,41,28,-18.0,28.39456124532915,18,8.903817600596422,1.0,10.394561245329148,28,39,0,23,16,69,1.5774756247405084,41,41,18,0,0,23,0,0.5609756097560976,23,"{""NO_FILL"":28,""STOP"":18,""TARGET"":23}"
2022_08,August 2022,M5_BROKEN_CONTROL_FIRST_RETEST,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,1.807046401602598,682.5681563766983,0.3329600762813163,0.19784584242802852,41,28,-24.0,37.65136312753397,24,10.087550732934236,0.5127930402930609,13.651363127533967,28,39,6,17,16,69,1.5688067969805821,41,41,24,5,64,17,0,0.4146341463414634,17,"{""NO_FILL"":28,""STOP"":24,""TARGET"":17}"
2022_08,August 2022,M5_BROKEN_CONTROL_FIRST_RETEST,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,10.216465633870557,1103.0391179900964,0.5515195589950481,0.31972148347539026,40,29,-20.0,42.06078235980194,20,9.592999959123093,0.7480357142856903,22.060782359801927,29,39,3,20,16,69,2.103039117990097,40,40,20,12,57,20,0,0.5,20,"{""NO_FILL"":29,""STOP"":20,""TARGET"":20}"
2022_08,August 2022,M5_BROKEN_CONTROL_FIRST_RETEST,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,-0.9775487150843141,543.3384005423528,0.26504312221578186,0.15748939146155153,41,28,-18.0,28.866768010847057,18,8.762405279579054,1.0,10.866768010847055,28,39,0,23,16,69,1.6037093339359476,41,41,18,61,8,23,0,0.5609756097560976,23,"{""NO_FILL"":28,""STOP"":18,""TARGET"":23}"
2022_08,August 2022,CONFIRMED_25_75_RETEST_SPLIT,CONTROL_V2_FILLED_STOP,-1.087316610451662,537.8500057739853,0.15589855239825662,0.15589855239825662,69,0,-21.0,31.75700011547971,30,8.309152439594667,1.0,10.757000115479707,0,39,0,39,0,69,1.512238100737129,41,41,30,0,0,39,0,0.5652173913043478,39,"{""SPLIT_CONTROL_STOP_NO_RETEST"":12,""SPLIT_CONTROL_TARGET_NO_RETEST"":16,""SPLIT_STOP_STOP"":18,""SPLIT_TARGET_TARGET"":23}"
2022_08,August 2022,CONFIRMED_25_75_RETEST_SPLIT,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,1.7648920408157522,680.4604383373561,0.19723490966300175,0.19723490966300175,69,0,-28.0,41.60920876674713,40,9.654488837003832,0.5127930402930609,13.609208766747122,0,39,10,29,0,69,1.4860431702409689,41,41,40,5,64,29,0,0.42028985507246375,29,"{""SPLIT_CONTROL_STOP_NO_RETEST"":16,""SPLIT_CONTROL_TARGET_NO_RETEST"":12,""SPLIT_STOP_STOP"":24,""SPLIT_TARGET_TARGET"":17}"
2022_08,August 2022,CONFIRMED_25_75_RETEST_SPLIT,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,10.048336512895391,1094.632661941338,0.3172848295482139,0.3172848295482139,69,0,-23.75,45.642653238826746,35,9.414215768974428,0.7480357142856903,21.89265323882676,0,39,5,34,0,69,1.9217959258453368,40,40,35,12,57,34,0,0.4927536231884058,34,"{""SPLIT_CONTROL_STOP_NO_RETEST"":15,""SPLIT_CONTROL_TARGET_NO_RETEST"":14,""SPLIT_STOP_STOP"":20,""SPLIT_TARGET_TARGET"":20}"
2022_08,August 2022,CONFIRMED_25_75_RETEST_SPLIT,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,-0.6202253138664062,561.2045706032482,0.16266799147920236,0.16266799147920236,69,0,-21.0,32.22409141206496,30,8.15324712752772,1.0,11.224091412064963,0,39,0,39,0,69,1.5344805434316646,41,41,30,61,8,39,0,0.5652173913043478,39,"{""SPLIT_CONTROL_STOP_NO_RETEST"":12,""SPLIT_CONTROL_TARGET_NO_RETEST"":16,""SPLIT_STOP_STOP"":18,""SPLIT_TARGET_TARGET"":23}"
2022_09,September 2022,CONTROL_NEXT_M1_OPEN,CONTROL_V2_FILLED_STOP,0.0,137.41048480111587,0.037646708164689284,0.037646708164689284,73,0,-36.0,38.748209696022315,36,12.409083046522984,1.0,2.7482096960223177,0,37,0,37,0,73,1.076339158222842,0,43,36,0,0,37,0,0.5068493150684932,37,"{""STOP"":36,""TARGET"":37}"
2022_09,September 2022,CONTROL_NEXT_M1_OPEN,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,14.435369171975942,859.178943399913,0.23539149134244192,0.23539149134244192,73,0,-42.0,59.18357886799825,42,13.38071472475987,0.5554699946893465,17.18357886799826,0,37,6,31,0,73,1.4091328301904344,0,43,42,1,72,31,0,0.4246575342465753,31,"{""STOP"":42,""TARGET"":31}"
